Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-06-04,46,94.60447311401367,1832.7022491693497,,,0.3238928272434962,1.214115858078003,0.2510583996772766,3281,,,,,803065,
2022-06-05,95,173.31624138355255,3450.1899268627167,,,0.3372357195509537,1.220171332359314,0.2510583996772766,5907,,,,,147586,
2022-06-06,13,11.244484901428223,585.4117860794067,,,0.36458155266046177,0.9569846391677856,0.2615191638469696,1292,,,,,145927,
2022-06-07,44,24.98246955871582,1454.290969133377,,,0.2963337921364064,0.7576336860656738,0.2510583996772766,2580,,,,,183217,
2022-06-08,40,58.33080577850342,1417.9393196105957,,,0.3842388234798943,1.2705421447753906,0.24848651885986328,2610,,,,,566110,96716
2022-06-09,18,25.64748191833496,953.3351833820343,,,0.3620945310668179,1.1540788412094116,0.2510583996772766,2037,,,,,95870,32710
2022-06-10,38,8.924201965332031,1432.8611063957214,,,0.3572916302326825,1.129178762435913,0.2510583996772766,2714,,,,,80178,
2022-06-11,36,43.092838525772095,1277.5104973316193,1.0,1,0.35216761242280437,1.209284782409668,0.2510583996772766,2252,,,,,450105,
2022-06-12,54,44.53330707550049,2001.0876051187515,,,0.37979779328114716,1.01543390750885,0.24753215909004211,3617,,,,,101128,
2022-06-13,155,261.3539619445801,3580.787606716156,,,0.32805230062350865,1.659668207168579,0.2615191638469696,6147,,,,,,
2022-06-14,41,94.71059989929199,1527.1486549377441,,,0.32875204718393386,0.9573779106140137,0.2510583996772766,3020,,,,,1229121,
2022-06-15,23,93.85331642627716,1129.4543628692627,,,0.3233570272630035,1.1500324010849,0.2510583996772766,1996,,,,,189180,
2022-06-16,56,30.200517416000366,2099.9587329030037,3.0,3,0.34155527684952686,1.184029459953308,0.24880006909370422,3848,,,,,250935,
2022-06-17,34,153.19426047801971,1429.888935804367,1.0,1,0.3250949187717275,1.5198345184326172,0.2510583996772766,2603,,,,,822081,
2022-06-18,65,203.11172485351562,2444.5805487036705,2.0,2,0.388260125328523,1.5907175540924072,0.2719799280166626,4216,,,,,1432655,
2022-06-19,17,37.57229828834534,766.4182562828064,,,0.32776039799829715,0.8440726399421692,0.2719799280166626,1548,,,,,288847,100702
2022-06-20,54,108.1323299407959,1640.8119586706161,13.0,13,0.36050754119182443,1.1118855476379395,0.2510583996772766,3050,,,,858964,499131,
2022-06-21,54,15.878067441284657,1861.6131365299225,1.0,1,0.3862027631200846,1.5799596309661865,0.2510583996772766,3578,,,,,206061,
2022-06-22,79,130.80440616607666,2151.391944050789,23.0,23,0.3691198741303753,1.0550916194915771,0.25519630312919617,4012,,,,1422809,,
2022-06-23,52,41.29651880264282,2019.455231308937,,,0.3800259471596763,1.450044870376587,0.2510583996772766,3811,,,,,394935,
2022-06-24,27,76.02693319320679,1166.8798334598541,,,0.3294266786521008,1.1353927850723267,0.2510583996772766,2276,,,,,986651,
